Assemblage number;Site name (modern);Site name (ancient);Modern country;Roman Province;Pleiades;DARE;Vici;Lat;Long;Major site type;Minor site type;Start date (AD);End date (AD);Quantification method;Quantification abbreviation;Total assemblage size;Reference;;;;;
1;Aislingen;;Germany;Raetia;118549;;;48,506038998;10,455590001;Military;Auxiliary;15;70;Minimum number of individuals;MNI;11;Schimmer, F. (2012). Amphoren aus Cambodunum/Kempten: ein Beitrag zur Handelsgeschichte der römischen Provinz Raetia. (Münchner Beiträge zur provinzialrömischen Archäologie 1). Wiesbaden.;;;;;
2;Alphen aan den Rijn;Albaniana;Netherlands;Germania Inferior;98908;;;52,127657695;4,668850800;Military;Auxiliary;43;240;Minimum number of individuals;MNI;600;Van der Werff, J. H. (2003). “The third and second lives of amphoras in Alphen aan den Rijn, The Netherlands,” Journal of Roman Pottery Studies 10: 107-116.;;;;;
3;Altenstadt;;Germany;Germania Superior;118559;;;50,285180078;8,942010544;Military;Numerus;89;260;Maximum number of individuals;MAX;220;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
4;Alzey;Altiaia;Germany;Germania Superior;108736;;;49,743051605;8,114029556;Settlement;Vicus;1;400;Maximum number of individuals;MAX;342;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
5;Anreppen;;Germany;Germania;108744;;;51,737959859;8,593170904;Military;Forward camp;4;9;Minimum number of individuals;MNI;284;González Cesteros, H. and Tremmel, B. (2015). Les importations d’amphores dans le camp legionairre d’Anreppen (Westphalie, Allemagne), SFÉCAG: Actes du Congrès de Nyon 14–17 Mai 2015, 343–52.;;;;;
6;Auerberg;Damasia;Germany;Raetia;187359;;;47,734597348;10,736031989;Settlement;Vicus;14;43;Minimum number of individuals;MNI;115;Schimmer, F. (2012). Amphoren aus Cambodunum/Kempten: ein Beitrag zur Handelsgeschichte der römischen Provinz Raetia. (Münchner Beiträge zur provinzialrömischen Archäologie 1). Wiesbaden.;;;;;
7;Augsburg;Augusta Vindelicum;Germany;Raetia;118580;;;48,371441002;10,898254999;Settlement;Municipium;170;400;Minimum number of individuals;MNI;41;Schimmer, F. (2012). Amphoren aus Cambodunum/Kempten: ein Beitrag zur Handelsgeschichte der römischen Provinz Raetia. (Münchner Beiträge zur provinzialrömischen Archäologie 1). Wiesbaden.;;;;;
8;Augsburg-Oberhausen;Augusta Vindelicum;Germany;Raetia;118580;;;48,390432769;10,878699791;Military;Auxiliary;-7;16;Minimum number of individuals;MNI;5;Schimmer, F. (2012). Amphoren aus Cambodunum/Kempten: ein Beitrag zur Handelsgeschichte der römischen Provinz Raetia. (Münchner Beiträge zur provinzialrömischen Archäologie 1). Wiesbaden.;;;;;
9;Augst;Augusta Raurica;Switzerland;Germania Superior;177494;;;47,533512464;7,716279517;Settlement/ Military;Colonia/ Limitanei;-10;450;Total sherds;Total;5633;"Martin-Kilcher, S. (1987). Die römischen Amphoren aus Augst und Kaiseraugst: ein Beitrag zur römischen Handels- und Kulturgeschichte. Vol. I: Die su?dspanischen Ölamphoren Gruppe 1), Forschungen in Augst Bd. 7.1, Augst. ; Martin-Kilcher, S. 1994. Die römischen Amphoren aus Augst und Kaiseraugst: ein Beitrag zur römischen Handels- und Kulturgeschichte. Vol. II: Die amphoren fu?r Wein, Fischsauce, Su?dfruchte (Gruppen 2–24) und Gesamtauswertung (Gruppen 2–24), Forschungen in Augst Bd. 7.2, Augst.";;;;;
10;Avenches;Aventicum;Switzerland;Germania Superior;177495;;;46,880040000;7,040710000;Settlement;Colonia;1;250;Minimum number of individuals;MNI;561;Meylan-Krause, M.-F. (1995). La céramique, in P. Blanc et al. (eds) Recherques sur les quartiers nord-est d’Aventicum, Bulletin de l’Association Pro Aventico, 37, 5-112. ;;;;;
11;Bad Kreuznach;Vicus Crucinacium;Germany;Germania Superior;109427;;;49,837124845;7,865673513;Villa;Villa;100;300;Maximum number of individuals;MAX;186;"Ehmig, U. (2005). Der Besitzer der Bad Kreuznacher Peristylvilla - ein Händler ostmediterraner Lebensmittel?, Münstersche Beiträge zur Antiken Handelsgeschichte, 24.2, 175-91. ; Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.";;;;;
12;Bad Wimpfen;Vicus Alisinensium;Germany;Germania Superior;119024;;;49,230874002;9,159075998;Settlement;Vicus;85;260;Maximum number of individuals;MAX;162;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
13;Basel Münsterhugel;Basilia;Switzerland;Germania Superior;177468;;;47,557421001;7,592573001;Settlement;Oppidum/Vicus;-80;40;Minimum number of individuals;MNI;194;Deschler-Erb, E. (2008). Basel-Münsterhügel am Übergang von spätkeltischer zu römischer Zeit: Ein Beispiel für die Romanisierung im Nordosten Galliens, University of Zurich, Faculty of Arts, Zurich.;;;;;
14;Bavay;Bagacum;Belgium;Gallia Belgica;108788;;;50,297153002;3,791744000;Settlement;Vicus;1;400;Rims, bases, and handles;RBH;422;Marlière, É. (1998). “Les amphores de Bavay,” in F. Laubenheimer, ed., Les Amphores en Gaule 2: Production et Circulation. Paris. Pp. 48-89;;;;;
15;Biesheim;Argentovaria?;France;Germania Superior;108755;;;48,038963981;7,545055911;Military;Auxiliary;14;350;Minimum number of individuals;MNI;279;Baudoux, J. (1996). Les amphores du nord-est de la Gaule (territoire français): contribution à l’histoire de l’économie provinciale sous l’Empire romain (Documents d’archéologie française 52). Paris.;;;;;
16;Bliesbrück;;France;Gallia Belgica;108816;;;49,114236278;7,178469371;Settlement;Vicus;1;300;Minimum number of individuals;MNI;45;Baudoux, J. (1996). Les amphores du nord-est de la Gaule (territoire français): contribution à l’histoire de l’économie provinciale sous l’Empire romain (Documents d’archéologie française 52). Paris.;;;;;
17;Braives;Perniciacum?;France;Germania Inferior;109245;;;50,616667000;5,133333001;Settlement;Vicus;1;400;Rims, bases, and handles;RBH;140;Brulet, R. (1992). “Les amphores de Braives, un vicus de Gaule Belgique,” in F. Laubenheimer, ed., Les Amphores en Gaule: Production et circulation.  Paris. Pp. 171-177.;;;;;
18;Breisach;Mons Brisiacus;Germany;Germania Superior;109174;;;48,034524228;7,577198561;Military;Limitanei;369;409;Rims, bases, and handles;RBH;34;Zagermann, M. (2010). Der Münsterberg in Breisach. III . Die römerzeitlichen Befunde und Funde der Ausgrabungen Kapuzinergasse (1980-1983), Rathauserweiterung, Tiefgaragenneubau (1984-1986) und der baubegleitenden Untersuchungen am Münsterplatz (2005-2007), München. ;;;;;
19;Chur Dosch;Curia;Switzerland;Raetia;187357;;;46,857263278;9,526722777;Settlement;Vicus;30;250;Total sherds;Total;34;Martin-Kilcher, S. (1991). Die Amphoren, in A. Hochuli et al. (eds) Chur in römischer Zeit II, Basel, 119–27.;;;;;
20;Chur Markthallenplatz;Curia;Switzerland;Raetia;187357;;;46,857263278;9,526722777;Settlement;Vicus;30;250;Total sherds;Total;90;Martin-Kilcher, S. (1991). Die Amphoren, in A. Hochuli et al. (eds) Chur in römischer Zeit II, Basel, 119–27.;;;;;
21;Dangstetten;;Germany;Germania Superior;;45430;;47,608913642;8,295442415;Military;Legion;-15;-9;Maximum number of individuals;MAX;2203;Ehmig, U. (2010). Dangstetten IV: Die Amphoren (Forschungen und Berichte zur Vor- und Frühgeschichte in Baden-Württemberg 117). Stuttgart.;;;;;
22;Dieburg;Med(...);Germany;Germania Superior;118839;;;49,899414048;8,846421452;Settlement;Civitas Capital;115;260;Maximum number of individuals;MAX;466;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
23;Geneva;Genava;Switzerland;Gallia Narbonensis;177528;;;46,198395674;6,142314761;Settlement;Civitas Capital;-40;400;Rims, bases, and handles;RBH;567;Paunier, D. (1981). La céramique gallo-romaine de Genève: de la Tène finale au royaume Burgonde (Ier siècle avant J.-C. - Ve siècle après J.-C.). Paris. ;;;;;
24;Grand;Andesina;France;Germania Superior;114765;;;48,385413715;5,484963602;Villa;Villa;1;400;Minimum number of individuals;MNI;95;Baudoux, J. (1996). Les amphores du nord-est de la Gaule (territoire français): contribution à l’histoire de l’économie provinciale sous l’Empire romain (Documents d’archéologie française 52). Paris.;;;;;
25;Groß-Gerau;;Germany;Germania Superior;109020;;;49,921432406;8,481813097;Military;Auxiliary;70;120;Maximum number of individuals;MAX;1465;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
26;Hanau-Salisberg;;Germany;Germania Superior;118726;;;50,134956531;8,908521390;Military;Auxiliary?;92;110;Maximum number of individuals;MAX;404;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
27;Heldenbergen;;Germany;Germania Superior;118873;;;50,239601003;8,865685994;Military;Fortlet;83;260;Maximum number of individuals;MAX;385;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
28;Höchst;;Germany;Germania Superior;108992;;;50,099569000;8,540383001;Military;Vexillation;-12;16;Maximum number of individuals;MAX;66;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
29;Hofheim Steinkastell;;Germany;Germania Superior;109047;;;50,086914048;8,448318019;Military;Vexillation;70;110;Maximum number of individuals;MAX;302;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
30;Hofheim Vicus;;Germany;Germania Superior;109047;;;50,085237086;8,449515873;Settlement;Vicus;110;260;Maximum number of individuals;MAX;190;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
31;Holzhausen;;Germany;Germania Superior;109050;;;50,217528004;7,908076297;Military;Auxiliary;185;260;Maximum number of individuals;MAX;133;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
32;Hummetroth;;Germany;Germania Superior;346876399;;;49,779027986;8,937499472;Villa;Villa;150;260;Maximum number of individuals;MAX;97;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
33;Kempten;Cambodunum;Austria;Raetia;187335;;;47,723790811;10,311208742;Settlement;Civitas Capital;1;400;Rims, bases, and handles;RBH;2071;Schimmer, F. (2012). Amphoren aus Cambodunum/Kempten: ein Beitrag zur Handelsgeschichte der römischen Provinz Raetia. (Münchner Beiträge zur provinzialrömischen Archäologie 1). Wiesbaden.;;;;;
