RAAD type number;RAAD form;Origin;Contents;Southampton type number;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;;;;;;;;;;;;;;;
1;Augst 48;EM;Unknown;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Augst 49;EM;Unknown;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Augst 55/ Agora F65-66;EM;Wine;10;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Augst 56;EM;Unknown;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Augst 57;EM;Unknown;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Augst 59;EM;Unknown;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Dressel 2-4;EM;Wine;74;;;;2;;;;;100;;1;;;;;;;;;;;3;;;3;;;5;2;;;;;;1;;;78;;;;;;;;1;;;;;;;2;;;;;;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Entonnoir;EM;Unknown;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Gaza/ Almagro 54;EM;Unknown;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Kapitan 1;EM;Wine;133;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Kapitan 2;EM;Wine;134;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;12;1;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
12;Knossos 18;EM;Unknown;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Late Roman Amphora 1;EM;Unknown;160;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Chian/ Oberaden 76;EM - Chios;Wine;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Pompeii 38;EM - Cnidos;Wine;192;;;;;1;;1;;3;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;4;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;AC-2;EM - Crete;Wine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Cretoise 1;EM - Crete;Wine;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Cretoise 2/3;EM - Crete;Wine;57 or 58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
19;Dressel 43;EM - Crete;Wine;93;;;;;;;3;;5;;;;;;3;;1;;;;;;;1;;;1;;;1;;;2;;;;;8;;;;;;;;1;;;;1;;;;;;;;;;;;;2;2;;;;;;;;;;1;;;;;5;;;;;;;;;;;;;;;
20;Mid-Roman 2/Cretoise 1;EM - Crete;Wine;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
21;Unknown;EM - Crete;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Egyptian;EM - Egypt;Fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Dressel 2-5;EM - Kos;Wine;74;;;;;22;;1;;;;;;;1;;;;;6;3;128;;;;;;;;;;;;82;;;1;2;;;15;;2;1;;2;;;;;45;6;2;;;;;;13;;;;;;;;;;;24;;;2;4;;65;;;;49;;;;;;;;;;;;;;;
24;Augst 46;EM - Levant;Unknown;35;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Augst 47;EM - Levant;Unknown;36;;;;;;;;;7;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Camulodunum 189;EM - Levant;Fruit;51;;;;;;;1;;24;4;;;;;;;;;;;;;;;;;;;;;;;12;;;;1;;;;;;;;;;;;;2;;1;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Kingsholm 117;EM - Levant;Fruit;51;;;;;;;;;6;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;3;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
28;Kingsholm 117/Camulodunum 189/Carrot/Schöne-Mau XV;EM - Levant;Fruit;51;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;11;;3;;1;;;;2;;;;1;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
29;Unknown;EM - Levant;Unknown;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Late Roman Amphora 4;EM - Palestine;Wine;21;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Camulodunum 184/Rhodian;EM - Rhodes;Wine;198;1;4;;;22;;;;106;;;;1;2;13;;1;;;6;173;;5;2;1;;;2;;;;;118;;2;2;1;96;4;51;1;1;4;;5;2;;;;64;20;;2;;;;;3;;;;1;12;;;38;;4;12;;;;2;;24;;2;4;40;;;;;;;;;;;;;;;
32;Dressel 2-5;EM - Rhodes;Wine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Haltern 67/Cam 184;EM - Rhodes;Wine;198;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Unknown;EM - Unknown;Unknown;;;;;;;;;;61;;5;;;1;13;;;;;3;;1;;;;;;;;;;;9;;;;;33;1;6;1;1;1;1;2;2;;;;7;2;;;;;;;;;;;;;;;;;;;;;;3;;18;;;;19;;;;;;;;;;;;;;;
35;Chalk 6/ Augst 53;EM?;Unknown;54;;;;;;;;;5;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
36;Augst 32/ Vindonissa 579;Gaul;Fish sauce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Augst 33/34;Gaul;Fish sauce;32 or 34;;;;;;;;;53;;;;;;;;;;;1;;;;;8;1;;;;2;;;1;;;;;15;;;;;;;;3;;;;1;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Dressel 1 sim;Gaul;Wine;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;
39;Dressel 10 sim;Gaul;Fish sauce;100;2;;;;;;;;87;1;;;1;;;;;;;1;;;;;2;;;1;;;;;;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;4;;;;;;;;;;;;;;;;
40;Dressel 1b;Gaul;Wine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;1;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Dressel 2-4;Gaul;Wine;;;;;;1;;2;;;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;39;;5;;;1;;1;;;;;24;3;;;;;1;;;;;;;;3;;;;;;;;1;1;;6;;;;14;;;;;;;;;;;;;;;
42;Dressel 2-5;Gaul;Wine;;;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
43;Dressel 28;Gaul;Wine;88;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;1;;;2;;;;;;3;;;;;;;1;;;;;;;;;;;;;;3;;;6;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
44;Dressel 7-11;Gaul;Fish sauce;;;;;;1;;;;;;;;;;;;;;;;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
45;Gauloise 1;Gaul;Wine;105;;;;;;;;;6;;;;;;;;1;;;;;;;1;;;;1;;;;;;;;;;6;1;2;;;;;;;;;;1;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
46;Gauloise 2;Gaul;Wine;114;;;;;;;;;;5;;;;2;;;;;;;5;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;1;;;2;;;;;6;;;;;;;;;;;;;;1;3;;;;;;5;;;;;;;;;;;;;;;
47;Gauloise 2 through 5;Gaul;Wine;114, 115, 116, or 119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Gauloise 2-3;Gaul;Wine;114 or 115;;;;;;;1;;84;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;57;;4;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
49;Gauloise 3;Gaul;Wine;115;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;5;;;;;;;;;;1;;;;;;;;;;;;;;1;;3;;;;;;;;;;;;;7;;;;;;;;;;;;;;;
50;Gauloise 3-4;Gaul;Wine;115 or 116;;;;;;;;;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Gauloise 3/7;Gaul;Wine;115 or 121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Gauloise 4/ Pelichet 47;Gaul;Wine;116;;77;81;23;;;;;946;79;56;34;;44;49;6;42;2;2;3;;98;95;29;397;94;107;;63;60;4;46;;18;24;1;;768;23;5;;;;;;529;3;40;150;34;;;5;1;13;1;1;;10;33;18;28;49;27;;25;1;;19;248;;;;39;;9;11;33;93;;;;;;;;;;;;;;;
53;Gauloise 5;Gaul;Wine;119;;;1;;;;5;;29;3;;;;;1;;2;;;2;;2;;;6;;;;;;;;;;;;;8;3;1;;;;;5;7;;;;1;;;;;;;;;;3;;1;;;;15;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;
54;Gauloise 6;Gaul;Unknown;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Gauloise 8;Gaul;Wine;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Ha 70 sim;Gaul;Defrutum/Olives;128;;;;;;;;;37;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;38;;;;;;;;;;;;6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;11;;;;;;;;;;;;;;;
57;London 555/Augst 21/Haltern 70 sim;Gaul;Defrutum/Olives;128;;;;;;;;;24;;;;;2;3;;;;;;;;;;3;;;;;;;;18;;;;;99;;;;;;;;;;;;1;;1;;;;;;;;;;;7;;;;;;;;;;;;;;;4;5;;;;;;;;;;;;;;;
58;Oberaden 74;Gaul;Wine;122;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
