RAAD type number;RAAD form;Origin;Contents;Southampton type number
1;Augst 48;EM;Unknown;
2;Augst 49;EM;Unknown;
3;Augst 55/ Agora F65-66;EM;Wine;10
4;Augst 56;EM;Unknown;
5;Augst 57;EM;Unknown;
6;Augst 59;EM;Unknown;
7;Dressel 2-4;EM;Wine;74
8;Entonnoir;EM;Unknown;
9;Gaza/ Almagro 54;EM;Unknown;21
10;Kapitan 1;EM;Wine;133
11;Kapitan 2;EM;Wine;134
12;Knossos 18;EM;Unknown;
13;Late Roman Amphora 1;EM;Unknown;160
14;Chian/ Oberaden 76;EM - Chios;Wine;
15;Pompeii 38;EM - Cnidos;Wine;192
16;AC-2;EM - Crete;Wine;
17;Cretoise 1;EM - Crete;Wine;56
18;Cretoise 2/3;EM - Crete;Wine;57 or 58
19;Dressel 43;EM - Crete;Wine;93
20;Mid-Roman 2/Cretoise 1;EM - Crete;Wine;56
21;Unknown;EM - Crete;Unknown;
22;Egyptian;EM - Egypt;Fruit;
23;Dressel 2-5;EM - Kos;Wine;74
24;Augst 46;EM - Levant;Unknown;35
25;Augst 47;EM - Levant;Unknown;36
26;Camulodunum 189;EM - Levant;Fruit;51
27;Kingsholm 117;EM - Levant;Fruit;51
28;Kingsholm 117/Camulodunum 189/Carrot/Schöne-Mau XV;EM - Levant;Fruit;51
29;Unknown;EM - Levant;Unknown;
30;Late Roman Amphora 4;EM - Palestine;Wine;21
31;Camulodunum 184/Rhodian;EM - Rhodes;Wine;198
32;Dressel 2-5;EM - Rhodes;Wine;
33;Haltern 67/Cam 184;EM - Rhodes;Wine;198
34;Unknown;EM - Unknown;Unknown;
35;Chalk 6/ Augst 53;EM?;Unknown;54
36;Augst 32/ Vindonissa 579;Gaul;Fish sauce;
37;Augst 33/34;Gaul;Fish sauce;32 or 33
38;Dressel 1 sim;Gaul;Wine;
39;Dressel 10 sim;Gaul;Fish sauce;100
40;Dressel 1b;Gaul;Wine;
41;Dressel 2-4;Gaul;Wine;
42;Dressel 2-5;Gaul;Wine;
43;Dressel 28;Gaul;Wine;88
44;Dressel 7-11;Gaul;Fish sauce;
45;Gauloise 1;Gaul;Wine;105
46;Gauloise 2;Gaul;Wine;114
47;Gauloise 2 through 5;Gaul;Wine;114, 115, 116, or 119
48;Gauloise 2-3;Gaul;Wine;114 or 115
49;Gauloise 3;Gaul;Wine;115
50;Gauloise 3-4;Gaul;Wine;115 or 116
51;Gauloise 3/7;Gaul;Wine;115 or 121
52;Gauloise 4/ Pelichet 47;Gaul;Wine;116
53;Gauloise 5;Gaul;Wine;119
54;Gauloise 6;Gaul;Unknown;120
55;Gauloise 8;Gaul;Wine;122
56;Ha 70 sim;Gaul;Defrutum/Olives;128
57;London 555/Augst 21/Haltern 70 sim;Gaul;Defrutum/Olives;128
58;Oberaden 74;Gaul;Wine;122
59;Ostia L/ Gauloise 5;Gaul;Wine;119
60;Pascual 1 sim;Gaul;Wine;186
61;Pelichet 46;Gaul;Fish sauce;
62;Vindonissa 588;Gaul;Fish sauce;
63;Augst 31/ Vindonissa 577;Gaul;Unknown;
64;Gauloise 13;Gaul - Belgic;Unknown;110
65;Gauloise 15;Gaul - Belgic;Unknown;112
66;Gauloise 2;Gaul - Burgundy;Wine;114
67;Augst 35;Gaul - Frejus;Fish sauce;
68;Lyon 5/ Dressel 16;Gaul - Frejus;Fish sauce;66
69;Anfore saumure;Gaul - Lyon;Fish sauce;23
70;Dressel 14;Gaul - Lyon;Fish sauce;
71;Dressel 7;Gaul - Lyon;Fish sauce;
72;Dressel 9 sim;Gaul - Lyon;Fish sauce;100
73;Gauloise 2;Gaul - Lyon;Wine;114
74;Gauloise 4;Gaul - Lyon;Wine;116
75;Lyon 1-2/Dressel 1;Gaul - Lyon;Wine;
76;Lyon 1/Dressel 1b;Gaul - Lyon;Wine;
77;Lyon 2/Dressel 2-4;Gaul - Lyon;Wine;
78;Lyon 3;Gaul - Lyon;Fish sauce;
79;Lyon 3a;Gaul - Lyon;Fish sauce;
80;Lyon 3b;Gaul - Lyon;Fish sauce;
81;Lyon 4/Augst 17;Gaul - Lyon;Fish sauce or Defrutum;31
82;Lyon 5/Dressel 16;Gaul - Lyon;Wine;66
83;Lyon 7a/Haltern 70 sim;Gaul - Lyon;Olives;128
84;Pascual 1;Gaul - Lyon;Wine;186
85;Unknown;Gaul - Lyon;Unknown;
86;Dressel 16;Gaul - Marseille;Fish sauce;66
87;Dressel 2-4;Gaul - Marseille;Wine;
88;Dressel 7-11;Gaul - Marseille;Fish sauce;
89;Gauloise 2;Gaul - Marseille;Wine;114
90;Gauloise 2-3;Gaul - Marseille;Wine;114 or 115
91;Gauloise 2/8;Gaul - Marseille;Wine;114 or 122
92;Gauloise 3;Gaul - Marseille;Wine;115
93;Gauloise 4;Gaul - Marseille;Wine;116
94;Unknown;Gaul - Marseille;Unknown;
95;Unknown;Gaul - Unknown;Unknown;
96;Gauloise 4/ Pelichet 47 sim;Germania;Unknown;
97;Low Lands ware;Germania;Unknown;
98;Camulodunum 162;Germania - local;Unknown;
99;Camulodunum 165;Germania - local;Unknown;
100;Friedberg 30;Germania - local;Unknown;
101;Oberaden 51;Germania - local;Unknown;
102;Camulodunum 163;Germania - NW Gaul;Unknown;
103;Scheldt valley group 3;Germania - NW Gaul;Unknown;
104;Unknown;Germania - NW Gaul;Unknown;
105;Dressel 20 sim;Germania - Rhineland;Unknown;
106;Flat bottom (Niederbieber 74/75);Germania - Rhineland;Unknown;
107;Gauloise 14/ Dressel 20 Sim;Germania - Rhineland;Unknown;111
108;Gauloise 5;Germania - Rhineland;Unknown;
109;Type 1a - Gauloise 1 sim/ Hofheim 62;Germania - Rhineland;Unknown;
110;Type 1b - Gauloise 2 sim/Hofheim 77;Germania - Rhineland;Unknown;
111;Type 2a - Haltern 70 sim;Germania - Rhineland;Unknown;
112;Type 2b - Gauloise 3 sim;Germania - Rhineland;Unknown;
113;Type 2c - Gauloise 9 sim/ Hofheim 61;Germania - Rhineland;Unknown;
114;Type 3?;Germania - Rhineland;Unknown;
115;Type 3a - Haltern 71 sim;Germania - Rhineland;Unknown;
116;Type 3b - Dressel 20/Gauloise 4 hybrid sim;Germania - Rhineland;Unknown;
117;Type 4 - Gauloise 4 sim;Germania - Rhineland;Unknown;
118;Type 5a - Stuart 132b;Germania - Rhineland;Unknown;
119;Type 5b - Stuart 132b;Germania - Rhineland;Unknown;
120;Type 6a - Vermeulen 84a/early Nb 74;Germania - Rhineland;Unknown;
121;Type 6b - Vermeulen 84a/early Nb 74;Germania - Rhineland;Unknown;
122;Type 7a - Scheldt valley imitations;Germania - Rhineland;Unknown;
123;Type 7b - Scheldt valley imitations;Germania - Rhineland;Unknown;
124;Type 7c - Niederbieber 68;Germania - Rhineland;Unknown;
125;Unknown;Germania - Rhineland;Unknown;
126;Dressel 2-4/5;Germania - Switzerland;Unknown;
127;Oberaden 52;Germania - Trier;Unknown;
128;Camulodunum 176;Italy;Wine;50
129;Dressel 1;Italy;Wine;61
130;Dressel 1 early;Italy;Wine;61
131;Dressel 1-5;Italy;Wine;
132;Dressel 1a;Italy;Wine;61
133;Dressel 1b;Italy;Wine;61
134;Dressel 1c;Italy;Wine;61
135;Dressel 2-4;Italy;Wine;78
136;Porto Recanati;Italy;Unknown;194
137;Dressel 6a;Italy - Adriatic;Fish sauce;95
138;Dressel 6b;Italy - Adriatic;Olive oil;96
139;Lamboglia 2;Italy - Adriatic;Wine;159
140;Unknown;Italy - Adriatic;Unknown;
141;Bónis 31;Italy - Adriatic?;Unknown;46
142;Giancola 6;Italy - Brindisi;Olive oil?;
143;Unknown;Italy - Brindisi;Unknown;
144;Dressel 2-4;Italy - Calabria;Wine;78
145;Keay 52;Italy - Calabria;Wine;145
146;Unknown;Italy - Calabria;Unknown;
147;Dressel 1;Italy - Campania;Wine;61
148;Dressel 1b;Italy - Campania;Wine;61
149;Dressel 2-4;Italy - Campania;Wine;78
150;Dressel 21-22;Italy - Campania;Fruit;83
151;Knidian imitation;Italy - Campania;Wine;
152;Unknown;Italy - Campania;Unknown;
153;Camulodunum 139;Italy - Campania?;Wine;49
154;Dressel 1;Italy - Etruria;Wine;61
155;Dressel 1b;Italy - Etruria;Wine;61
156;Dressel 2-4;Italy - Etruria;Wine;78
157;Unknown;Italy - Etruria;Unknown;
158;Richborough 527/ Augst 43;Italy - Lipari;Alum;199
159;Aquincum 78;Italy - North;Fish sauce;30
160;Forlimpopoli;Italy - North;Unknown;104
161;Schörgendorfer 558;Italy - North;Olives;202
162;Camulodunum 176;Italy - Unknown;Wine;50
163;Dressel 2-4;Italy - Unknown;Wine;78
164;Unknown;Italy - Unknown;Unknown;
165;Mid Roman 1;Italy?;Wine;
166;Africana I;North Africa;Olive oil;1
167;Africana II;North Africa;Olive oil;2
168;Africana II/III;North Africa;Olive oil/ unknown;2 or 3
169;Africana IIa Grande/ Keay 24;North Africa;Wine or fishsauce;2
170;Africana IIc;North Africa;Fish sauce;5
171;Africana IIIc/ Keay 25;North Africa;Unknown;9
172;Augst 15/ Dressel 30/ Keay 1A;North Africa;Wine;89
173;Augst 63;North Africa;Olive oil;
174;Byzacene;North Africa;Unknown;
175;Dressel 30/ Keay 1b;North Africa;Wine;90
176;Keay 36b;North Africa;Olive oil;139
177;Keay 62;North Africa;Olive oil;152
178;Maña C/ Vindonissa 592/ Cintas 312/ Pompei XL/ Augst 61;North Africa;Fish sauce;219
179;Maña C1;North Africa;Olive oil;218
180;Spatheion 1/ Keay 26;North Africa;Olives;205
181;Tripolitana ancienne;North Africa;Olive oil;29
182;Unknown;North Africa;Unknown;
183;Xanten 76/25;North Africa;Unknown;
184;Unknown;North Africa - Tripl;Unknown;
185;Dressel 2-4;North Africa - Tripolitania;Wine;69
186;Tripolitania 1;North Africa - Tripolitania;Olive oil;212
187;Tripolitania 2;North Africa - Tripolitania;Unknown;213
188;Tripolitania 3;North Africa - Tripolitania;Olive Oil;214
189;Tripolitanian;North Africa - Tripolitania;Olive oil?;
190;Mid Roman Amphora 1;North Africa?;Wine;
191;Oberaden 85 (This is a carrot amph)/ Schöne Mau XV;North Africa?;Fruit;
192;Zweihenkelkruge;Raetia;Unknown;
193;Vindonissa 538;Iberian Peninsula;Wine;
194;Dressel 1b;Iberian Peninsula - Guadalquivir;Wine;
195;Dressel 2-4;Iberian Peninsula - Guadalquivir;Wine;71
196;Dressel 20;Iberian Peninsula - Guadalquivir;Olive oil;81
197;Dressel 20 parva;Iberian Peninsula - Guadalquivir;Olive oil;
198;Dressel 23;Iberian Peninsula - Guadalquivir;Olive oil;84
199;Dressel 28;Iberian Peninsula - Guadalquivir;Wine;87
200;Dressel 7-11;Iberian Peninsula - Guadalquivir;Fish sauce;97, 98, 99, 62, or 63
201;Haltern 70;Iberian Peninsula - Guadalquivir;Defrutum or olives;127
202;Haltern 71;Iberian Peninsula - Guadalquivir;Olive oil;
203;Oberaden 83;Iberian Peninsula - Guadalquivir;Olive oil;175
204;Ovoide 4;Iberian Peninsula - Guadalquivir;Olive oil;
205;Unknown;Iberian Peninsula - Guadalquivir;unknown;
206;Urceus;Iberian Peninsula - Guadalquivir;Wine;
207;Verulamium 1908;Iberian Peninsula - Guadalquivir;Olives;129
208;Dressel 14;Iberian Peninsula - Lusitania;Fish sauce;65
209;Dressel 14;Iberian Peninsula - Lusitania;Fish sauce;65
210;Dressel 14 ancient;Iberian Peninsula - Lusitania;Fish sauce;65
211;Keay 23;Iberian Peninsula - Lusitania;Unknown;
212;Salazones;Iberian Peninsula - Lusitania;Fish sauce;
213;Unknown;Iberian Peninsula - Lusitania;Unknown;
214;Dressel 10;Iberian Peninsula - Marismas;Fish sauce;62
215;Dressel 12;Iberian Peninsula - Marismas;Fish sauce;64
216;Dressel 7;Iberian Peninsula - Marismas;Fish sauce;97
217;Dressel 7-11;Iberian Peninsula - Marismas;Fish sauce;97, 98, 99, 62, or 63
218;Dressel 8;Iberian Peninsula - Marismas;Fish sauce;98
219;Dressel 9;Iberian Peninsula - Marismas;Fish sauce;99
220;Haltern 70;Iberian Peninsula - Marismas;Defrutum or olives;127
221;Unknown;Iberian Peninsula - Marismas;Unknown;
222;Almagro 50;Iberian Peninsula - South;Fish sauce;17
223;Anfore saumure;Iberian Peninsula - South;Fish sauce;23
224;Beltran Iia/ Pelichet 46;Iberian Peninsula - South;Fish sauce;43
225;Beltran IIb;Iberian Peninsula - South;Fish sauce;44
226;Dressel 10;Iberian Peninsula - South;Fish sauce;62
227;Dressel 10 sim;Iberian Peninsula - South;Fish sauce;
228;Dressel 10/9 sim;Iberian Peninsula - South;Fish sauce;
229;Dressel 11;Iberian Peninsula - South;Fish sauce;63
230;Dressel 12;Iberian Peninsula - South;Fish sauce;64
231;Dressel 14;Iberian Peninsula - South;Fish sauce;65
232;Dressel 17;Iberian Peninsula - South;Fish sauce;67
233;Dressel 2-4;Iberian Peninsula - South;Wine;71
234;Dressel 28;Iberian Peninsula - South;Wine;87
235;Dressel 7;Iberian Peninsula - South;Fish sauce;97
236;Dressel 7-11;Iberian Peninsula - South;Fish sauce;97, 98, 99, 62, or 63
237;Dressel 7-12;Iberian Peninsula - South;Fish sauce;97, 98, 99, 62, 63, or 64
238;Dressel 7-8;Iberian Peninsula - South;Fish sauce;97 or 98
239;Dressel 7/10;Iberian Peninsula - South;Fish sauce;97, 98, 99, or 62
240;Dressel 8;Iberian Peninsula - South;Fish sauce;98
241;Dressel 8-9;Iberian Peninsula - South;Fish sauce;98 or 99
242;Dressel 9;Iberian Peninsula - South;Fish sauce;99
243;Dressel 9-10;Iberian Peninsula - South;Fish sauce;99 or 62
244;Fishsauce;Iberian Peninsula - South;Fish sauce;
245;Haltern 70;Iberian Peninsula - South;Defrutum or olives;127
246;Keay 35b;Iberian Peninsula - South;Wine or fishsauce;138
247;Matagallares 1;Iberian Peninsula - South;Unknown;
248;Pompeii VII/ Vindonissa 586;Iberian Peninsula - South;Fish sauce;98
249;Unknown;Iberian Peninsula - South;Unknown;
250;Urceus;Iberian Peninsula - South;Wine;
251;Urceus 2;Iberian Peninsula - South;Wine;
252;Urceus 3;Iberian Peninsula - South;Wine;
253;Dressel 7-11;Iberian Peninsula - South;Fish sauce;97, 98, 99, 62, or 63
254;Dressel 1;Iberian Peninsula - Tarraconensis;Wine;
255;Dressel 12;Iberian Peninsula - Tarraconensis;Fish sauce;64
256;Dressel 2-4;Iberian Peninsula - Tarraconensis;Wine;72
257;Dressel 7-11;Iberian Peninsula - Tarraconensis;Fish sauce;97, 98, 99, 62, or 63
258;Oberaden 74;Iberian Peninsula - Tarraconensis;Wine;
259;Pascual 1;Iberian Peninsula - Tarraconensis;Wine;185
260;Unknown;Iberian Peninsula - Tarraconensis;Unknown;
261;Augst 69;Unknown;Unknown;
262;Augst Gr 20;Unknown;Unknown;
263;Dangstetten 1;Unknown;Unknown;
264;Dolium;Unknown;Unknown;
265;Dressel 2-4;Unknown;Wine;
266;Dressel 2-5;Unknown;Wine;
267;Unknown;Unknown;Unknown;
268;Augst 30;Unknown (Iberian Peninsula?);;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
